asset_id,source_filename,filename,source_dimensions,web_dimensions,max_edge_px,webp_quality,bytes,sha256
A001,A001_jade_dragon_pei_npm.jpg,A001_jade_dragon_pei_npm.webp,5184×3456,1920×1280,1920,82,91326,e5ed1155ce065838bebba5ec1828c7aa1a49985d506502704d17d72633afa800
A002,A002_jade_pig_dragon_npm.jpg,A002_jade_pig_dragon_npm.webp,3456×5184,1280×1920,1920,82,79262,6d50490f74a0ea8e9fc03e5fc1ea3f0355ac8b02739b19e327e61bd7f7e4c241
A003,A003_jade_hooked_cloud_npm.jpg,A003_jade_hooked_cloud_npm.webp,5184×3456,1920×1280,1920,82,110098,0a15fde1dc6151ec7fb4443115b84eafa77cd03831999174a041e23ae663243b
A004,A004_jade_bird_npm.jpg,A004_jade_bird_npm.webp,5184×3456,1920×1280,1920,82,95700,88f3dac7d395ff24267503c9fee674217a163d69143b60444d381b273ca0eca3
A005,A005_jade_hoof_npm.jpg,A005_jade_hoof_npm.webp,5184×3456,1920×1280,1920,82,51824,92333a1b972de0a5bbde4217460425d1536ad74cd7790d8dede1c7d77afaf6f7
A006,A006_jade_figurine_npm.jpg,A006_jade_figurine_npm.webp,3456×5184,1280×1920,1920,82,80864,eac5766ebb3220d004a10e805502d36b6fc6cd18e11466cb683a983e9073958f
A007,A007_jade_yue_axe_shanghai_museum.jpg,A007_jade_yue_axe_shanghai_museum.webp,4752×3168,1920×1280,1920,82,59800,6a53c255c3b2dd9d6f52a09e5612b70f812ee1d7b238627c087b390bf7031275
A008,A008_hongshan_jade_burial_object_liaoning_museum.jpg,A008_hongshan_jade_burial_object_liaoning_museum.webp,5184×3456,1920×1280,1920,82,75382,bb050fed8c4b2938987425493d4c1531554073104a2f2481a42c5e71b314cf03
A009,A009_ceremonial_headdress_harvard.jpg,A009_ceremonial_headdress_harvard.webp,3488×4659,1437×1920,1920,82,141408,170ecdd8a35d9b616c6ab5934007004227b752b2d5d4d8cc9497be098cd82df1
A010,A010_jade_bird_british_museum.jpg,A010_jade_bird_british_museum.webp,1618×1300,1618×1300,1920,82,74676,34a05bc66b0241950c7a97f8e639e9247860c66e13fc1e3350bc1ac510f01448
A011,A011_pig_dragon_british_museum.jpg,A011_pig_dragon_british_museum.webp,2021×1770,1920×1682,1920,82,78120,2c388a774629993dfe299211cd00921279b49b95d3edcd9fd89a8ccf40298f34
A012,A012_pottery_vessels_liaoning_museum.jpg,A012_pottery_vessels_liaoning_museum.webp,5184×3456,1920×1280,1920,82,80344,b4c5c70193224f9f3802e0689f81cc783321e34066693d3cfc52cb0c891310ac
A013,A013_painted_pottery_inner_mongolia_museum.jpg,A013_painted_pottery_inner_mongolia_museum.webp,5184×3456,1920×1280,1920,82,91632,29d8477d60c4aa24c74efbf20cbb471bda3f6e37fb4b31291a2cbe75f2761c56
A014,A014_pregnant_female_torso_national_museum_china.jpg,A014_pregnant_female_torso_national_museum_china.webp,1000×1138,1000×1138,1920,82,30832,4cc2d0480399ab01c9655902eab60623046a2e3553f14e2791723b4988a3e9bf
A015,A015_four_lug_jar_met.jpg,A015_four_lug_jar_met.webp,670×799,670×799,1920,82,22128,c1fc18701464ffed4efdeb521bc97fd7e19cb08099876710d26327ebb66afdde
A016,A016_neolithic_tomb_display_liaoning_museum.jpg,A016_neolithic_tomb_display_liaoning_museum.webp,3456×5184,1280×1920,1920,82,284136,2a96fb364c6321a159feb34b8bed1dfa0780b84ed8faab800e4bad749c111b84
A017,A017_stone_tools_liaoning_museum.jpg,A017_stone_tools_liaoning_museum.webp,5184×3456,1920×1280,1920,82,112352,6d36cda28131cf99fcc0be88fd6f3a8c25638028a9e9f0d2ff8538f7b4ba0675
A018,A018_hongshan_site_chifeng_01.jpg,A018_hongshan_site_chifeng_01.webp,5184×3888,1920×1440,1920,82,423198,f0f60cac4749fb3eddab95bbea2f066b19815310992e9d365ac0017380f799ae
A019,A019_hongshan_site_chifeng_02.jpg,A019_hongshan_site_chifeng_02.webp,5184×3888,1920×1440,1920,82,289792,9c152cdd5bac056c21a9867ddad379561da57a7837c71138bdd5abf932aa6fe9
A020,A020_hongshan_culture_museum_chifeng.jpg,A020_hongshan_culture_museum_chifeng.webp,4032×3024,1920×1440,1920,82,217254,675ce99c061cce6be7782eb870de8b59fd9fe4786d5f2d247d631988569446be
A021,A021_jade_plaque_met.jpg,A021_jade_plaque_met.webp,4000×3001,1920×1440,1920,82,35518,6b4d9749c815bb8cee5bdbf6f80ab5887d6363ba8408517ef1dad415508fcb5e
