asset_id,filename,source_asset,culture,width,height,bytes,sha256,license,attribution,source_page
EC001,EC001_xiaohexi_pottery_miniature_head.webp,EC001_xiaohexi_pottery_miniature_head.jpg,小河西文化,885,1271,120748,7ed37c44c75e9b105fe4d6f9cd0d2c59662a93ea8de7a3e56b30f6dcd5d502b0,CC0 1.0,"Photo: Furius / Wikimedia Commons, CC0 1.0",https://commons.wikimedia.org/wiki/File:Pottery%20miniature%20head%2C%20Neolithic%2C%20Xiaohexi%20Culture%20(ca.%206500%20BC)%2C%20Yushushan%20site%2C%20Aohan%2C%20Inner%20Mongolia.jpg
EC002,EC002_xinglongwa_cord_marked_pottery_jar.webp,EC002_xinglongwa_cord_marked_pottery_jar.jpg,兴隆洼文化,634,994,31494,c2370ad0875e3f7cf3152ce498bd8fa952f33698cc5e6bde3fe836dbb972e15d,CC BY-SA 4.0（亦提供 GFDL/较早 BY-SA 版本）,"Photo: Prof. Gary Lee Todd / Wikimedia Commons, CC BY-SA 4.0",https://commons.wikimedia.org/wiki/File:Neolithic%20pottery%20jar%2C%20Xinglongwa%20Culture%2C%20Liaoning%2C%201990.JPG
EC003,EC003_xinglongwa_open_mouth_cylindrical_jar.webp,EC003_xinglongwa_open_mouth_cylindrical_jar.jpg,兴隆洼文化,1067,1600,106782,6814419a59ab4e9d5354bee2d7e7182d8274307483a26095eaab3f773dbaf0d6,CC BY-SA 4.0,"Photo: Siyuwj / Wikimedia Commons, CC BY-SA 4.0",https://commons.wikimedia.org/wiki/File:%E5%85%B4%E9%9A%86%E6%B4%BC%E6%96%87%E5%8C%96%E6%95%9E%E5%8F%A3%E7%AD%92%E5%BD%A2%E9%99%B6%E7%BD%90%2C%202024-06-22.jpg
EC004,EC004_xinglongwa_pottery_group_01.webp,EC004_xinglongwa_pottery_group_01.jpg,兴隆洼文化,1600,1067,169950,c07cc7884871d629a74bbcf6fd7ca35a87a7894d2003ac8515a2ed0088454404,CC BY-SA 4.0,"Photo: Siyuwj / Wikimedia Commons, CC BY-SA 4.0",https://commons.wikimedia.org/wiki/File:%E5%85%B4%E9%9A%86%E6%B4%BC%E6%96%87%E5%8C%96%E9%99%B6%E5%99%A8%E7%BE%A4%2C%202024-06-22%2001.jpg
EC005,EC005_xinglongwa_pottery_group_02.webp,EC005_xinglongwa_pottery_group_02.jpg,兴隆洼文化,1600,1067,140482,0f38f784ecca192bcc69fddbfeca668ca87e7da7e8c6618cc3f7a810b9f2036c,CC BY-SA 4.0,"Photo: Siyuwj / Wikimedia Commons, CC BY-SA 4.0",https://commons.wikimedia.org/wiki/File:%E5%85%B4%E9%9A%86%E6%B4%BC%E6%96%87%E5%8C%96%E9%99%B6%E5%99%A8%E7%BE%A4%2C%202024-06-22%2002.jpg
EC006,EC006_xinglongwa_grinding_slab_and_roller.webp,EC006_xinglongwa_grinding_slab_and_roller.jpg,兴隆洼文化,1600,1067,99058,899fb41b18561b9aaf35422ea00e98c4ed075d99a1cea3eb6e9c1eecf3aff5a8,CC BY-SA 4.0,"Photo: Siyuwj / Wikimedia Commons, CC BY-SA 4.0",https://commons.wikimedia.org/wiki/File:%E5%85%B4%E9%9A%86%E6%B4%BC%E6%96%87%E5%8C%96%E7%9F%B3%E7%A3%A8%E6%A3%92%E3%80%81%E7%9F%B3%E7%A3%A8%E7%9B%98%2C%202024-06-22.jpg
EC007,EC007_xinglongwa_jade_jue_2024.webp,EC007_xinglongwa_jade_jue_2024.jpg,兴隆洼文化,1600,1067,33230,2192515b2eb626de43955caef330bff056e2fff37523f309abf76bff6f4451b3,CC BY-SA 4.0,"Photo: Siyuwj / Wikimedia Commons, CC BY-SA 4.0",https://commons.wikimedia.org/wiki/File:%E5%85%B4%E9%9A%86%E6%B4%BC%E6%96%87%E5%8C%96%E7%8E%89%E7%8E%A6%2C%202024-06-22.jpg
EC008,EC008_xinglongwa_green_jade_jue.webp,EC008_xinglongwa_green_jade_jue.jpg,兴隆洼文化,1600,1111,25296,946037b30d1453cf7d2b7dca036e192fa88c02f907f3a8bd034b200908f11097,CC0 1.0,"Photo: Furius / Wikimedia Commons, CC0 1.0",https://commons.wikimedia.org/wiki/File:Green%20jade%20jue%2C%20Neolithic%2C%20Xinglongwa%20culture%20(6200-5200%20BC)%2C%20Xinglongwa%20site%2C%20Aohan%2C%20Inner%20Mongolia.jpg
EC009,EC009_xinglongwa_skull_plaque_2024.webp,EC009_xinglongwa_skull_plaque_2024.jpg,兴隆洼文化,1600,1067,110044,face199d240b883b7196e485f9b7ce7b3da8d3f7c5b9d91d59e25b11b87643f0,CC BY-SA 4.0,"Photo: Siyuwj / Wikimedia Commons, CC BY-SA 4.0",https://commons.wikimedia.org/wiki/File:%E5%85%B4%E9%9A%86%E6%B4%BC%E6%96%87%E5%8C%96%E4%BA%BA%E5%A4%B4%E7%9B%96%E9%AA%A8%E7%89%8C%E9%A5%B0%2C%202024-06-22.jpg
EC010,EC010_xinglongwa_skull_plaque_alt.webp,EC010_xinglongwa_skull_plaque_alt.jpg,兴隆洼文化,1545,1600,265558,982a5ec273f13505ae7272a80c7448dbed4fd42dc52144364b7d5430d5d9c5ad,CC0 1.0,"Photo: Furius / Wikimedia Commons, CC0 1.0",https://commons.wikimedia.org/wiki/File:Plaque%20made%20from%20human%20skull%2C%20Neolithic%2C%20Xinglongwa%20Culture%20(6200-5200%20BC)%2C%20Xinglongguo%20site%201%2C%20Aohan%2C%20Inner%20Mongolia.jpg
